Handle,Title,Body (HTML),Vendor,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,Google Shopping / Mpn,Google Shopping / Age Group,Google Shopping / Gender,Google Shopping / Google Product Category,Seo Title,Seo Description,Google Shopping / Adwords Grouping,Google Shopping / Adwords Labels,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item
2da0153,,,,,,,,Varsity Jacket-Dark Red,,S,,,2DA0153-Varsity Jacket-Dark Red-S,0,,0,continue,manual,55.95,0,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,http://forfanstore.company/2DA0153-Varsity%20Jacket-Dark%20Red.jpg,kg,,
2da0153,,,,,,,,Varsity Jacket-Dark Red,,M,,,2DA0153-Varsity Jacket-Dark Red-M,0,,0,continue,manual,55.95,0,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,http://forfanstore.company/2DA0153-Varsity%20Jacket-Dark%20Red.jpg,kg,,
2da0153,,,,,,,,Varsity Jacket-Dark Red,,L,,,2DA0153-Varsity Jacket-Dark Red-L,0,,0,continue,manual,55.95,0,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,http://forfanstore.company/2DA0153-Varsity%20Jacket-Dark%20Red.jpg,kg,,
2da0153,,,,,,,,Varsity Jacket-Dark Red,,XL,,,2DA0153-Varsity Jacket-Dark Red-XL,0,,0,continue,manual,55.95,0,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,http://forfanstore.company/2DA0153-Varsity%20Jacket-Dark%20Red.jpg,kg,,
2da0153,,,,,,,,Varsity Jacket-Dark Red,,2XL,,,2DA0153-Varsity Jacket-Dark Red-2XL,0,,0,continue,manual,55.95,0,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,http://forfanstore.company/2DA0153-Varsity%20Jacket-Dark%20Red.jpg,kg,,
2da0153,,,,,,,,Varsity Jacket-Dark Red,,3XL,,,2DA0153-Varsity Jacket-Dark Red-3XL,0,,0,continue,manual,55.95,0,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,http://forfanstore.company/2DA0153-Varsity%20Jacket-Dark%20Red.jpg,kg,,
2da0153,,,,,,,,Varsity Jacket-Dark Red,,4XL,,,2DA0153-Varsity Jacket-Dark Red-4XL,0,,0,continue,manual,55.95,0,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,http://forfanstore.company/2DA0153-Varsity%20Jacket-Dark%20Red.jpg,kg,,
2da0153,,,,,,,,Varsity Jacket-Dark Red,,5XL,,,2DA0153-Varsity Jacket-Dark Red-5XL,0,,0,continue,manual,55.95,0,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,http://forfanstore.company/2DA0153-Varsity%20Jacket-Dark%20Red.jpg,kg,,
2da0153,,,,,,,,Varsity Jacket-Dark Red,,6XL,,,2DA0153-Varsity Jacket-Dark Red-6XL,0,,0,continue,manual,55.95,0,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,http://forfanstore.company/2DA0153-Varsity%20Jacket-Dark%20Red.jpg,kg,,
2da0153,,,,,,,,Varsity Jacket-Red,,S,,,2DA0153-Varsity Jacket-Red-S,0,,0,continue,manual,55.95,0,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,http://forfanstore.company/2DA0153-Varsity%20Jacket-Red.jpg,kg,,
2da0153,,,,,,,,Varsity Jacket-Red,,M,,,2DA0153-Varsity Jacket-Red-M,0,,0,continue,manual,55.95,0,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,http://forfanstore.company/2DA0153-Varsity%20Jacket-Red.jpg,kg,,
2da0153,,,,,,,,Varsity Jacket-Red,,L,,,2DA0153-Varsity Jacket-Red-L,0,,0,continue,manual,55.95,0,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,http://forfanstore.company/2DA0153-Varsity%20Jacket-Red.jpg,kg,,
2da0153,,,,,,,,Varsity Jacket-Red,,XL,,,2DA0153-Varsity Jacket-Red-XL,0,,0,continue,manual,55.95,0,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,http://forfanstore.company/2DA0153-Varsity%20Jacket-Red.jpg,kg,,
2da0153,,,,,,,,Varsity Jacket-Red,,2XL,,,2DA0153-Varsity Jacket-Red-2XL,0,,0,continue,manual,55.95,0,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,http://forfanstore.company/2DA0153-Varsity%20Jacket-Red.jpg,kg,,
2da0153,,,,,,,,Varsity Jacket-Red,,3XL,,,2DA0153-Varsity Jacket-Red-3XL,0,,0,continue,manual,55.95,0,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,http://forfanstore.company/2DA0153-Varsity%20Jacket-Red.jpg,kg,,
2da0153,,,,,,,,Varsity Jacket-Red,,4XL,,,2DA0153-Varsity Jacket-Red-4XL,0,,0,continue,manual,55.95,0,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,http://forfanstore.company/2DA0153-Varsity%20Jacket-Red.jpg,kg,,
2da0153,,,,,,,,Varsity Jacket-Red,,5XL,,,2DA0153-Varsity Jacket-Red-5XL,0,,0,continue,manual,55.95,0,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,http://forfanstore.company/2DA0153-Varsity%20Jacket-Red.jpg,kg,,
